,Link,Title,Summary,Article,Date,Embedding,Wav-link,wav_file_name
0,https://www.huffpost.com/entry/ron-desantis-fox-news-never-criticizing-trump_n_65979253e4b0912833af7ee4,Ron DeSantis Knocks Fox News For The Way It Covers Trump,"Florida Gov. Ron DeSantis ripped Fox News for “never criticizing” Donald Trump. The comments come a day after a man in Iowa confronted him on why he hasn’t “ gone directly ” after Trump on the campaign trail. “I think all of us should be held accountable, Dana, I don't think it’s healthy for the conservative movement to have one candidate that is not subjected to scrutiny,” he said.","Ron DeSantis  ripped  Fox News  for “never criticizing”  Donald Trump  just one day after an Iowa voter  confronted him  for his approach toward the former president. The GOP presidential candidate, in an Iowa campaign stop on Thursday, pointed to the former president’s  criticism of a six-week abortion ban  in Florida and noted that Iowa Gov. Advertisement He went on to question if Trump has flip-flopped on abortion  given previous remarks  and claimed he “disqualified himself” for voters who believe in “the sanctity of life” before adding that people have to hold Trump accountable. “This idea that like all these conservative radio guys and  Fox News  people like, they will like never criticize because they’re so concerned that someone may yell at them,” DeSantis said. You have every right to hold these people accountable and you should hold him accountable when he’s taking those positions that are not consistent with the values here in northwest Iowa.” Advertisement DeSantis, in an interview with former NRA spokesperson  Dana Loesch  on Thursday, also knocked the conservative network for its  counterprogramming with Trump  set to air during next week’s GOP primary debate hosted by CNN. “They’re basically giving him a lifeline and making it easier for him to duck the debate,” said DeSantis, who once criticized Trump from being “ missing in action ” on the debate stage last year. “I think all of us should be held accountable, Dana, I don’t think it’s healthy for the conservative movement to have one candidate that is not subjected to scrutiny. But that’s kind of what it’s been and I think, quite frankly, Fox News has bailed him out for allowing him not to debate.” The comments arrive a day after a man in Iowa confronted DeSantis on why he hasn’t “ gone directly ” after Trump on the campaign trail. Advertisement The man, who said he voted for Trump in 2016 and 2020, declared that DeSantis was “going pretty soft” on the former president. The Florida governor typically steered away from attacking Trump, although, in recent months, he’s  occasionally taken   jabs  at the former president  including on Thursday at a CNN town hall . Trump continues to hold his lead over DeSantis by over 49 percentage points on average in national polls,  according to FiveThirtyEight . Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. A vibrant democracy is impossible without well-informed citizens. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history.",2024-01-05 09:43:57,"[0.2128772933932287, 0.33877417529286796, 0.8629762707667324, 0.20434615485628055, 0.2311491319499316]",,Ron-DeSantis-Knocks-Fox-News-For-The-Way-It-Covers-Trump.wav
1,https://www.huffpost.com/entry/trump-attorney-alina-habba-supreme-court-ballot_n_65978633e4b0912833af7d10,Trump Lawyer Slammed For Saying The Quiet Part 'Out Loud' On Supreme Court Hopes,"Alina Habba, Donald Trump’s attorney, discussed her hopes on Thursday that the conservative-majority  Supreme Court will rule in the former president's favor. “I think it should be a slam dunk in the Supreme Court. I have faith in them,” Habba told Fox News ’  Sean Hannity. Habba also criticized Maine Secretary of State Shenna Bellows – who was targeted in a swatting call at her home last week – for not","Donald Trump ’s attorney  Alina Habba  discussed her hopes on Thursday that the conservative-majority  Supreme Court  will rule in the former president’s favor after recent decisions that booted him from state GOP primary ballots this year, suggesting that a justice who Trump “fought for” might “step up.” “I think it should be a slam dunk in the Supreme Court. I have faith in them,” Habba told  Fox News ’  Sean Hannity . Advertisement The remarks from Habba,  who brought up Trump’s concerns with the court in an interview just a day before , arrive after the former president  asked SCOTUS to overturn  a Colorado Supreme Court ruling that kicked him off the state’s primary ballot last month. Trump, earlier this week, also  appealed a similar ruling  from Maine’s secretary of state that removed the former president from the state’s 2024 GOP primary ballot, as well. Habba, in her interview with Hannity, pointed to her faith in Supreme Court Justice  Brett Kavanaugh , whom Trump nominated, while discussing the decisions. Advertisement “You know people like Kavanaugh – who the president fought for, who the president went through hell to get into place – he’ll step up,” she said. Because they’re pro-fairness and the law on this is very clear.” Elsewhere in the interview, Habba criticized Maine Secretary of State Shenna Bellows – who was  targeted in a swatting call  at her home last week – for not being a lawyer and said she found “some obscure section of some statute” and applied it to the former president. A number of critics on X (formerly Twitter) criticized Habba including MSNBC host Katie Phang who accused the attorney of saying “the quid pro quo part out loud.” Advertisement Advertisement Advertisement Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. Your contribution will go a long way. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Your contribution will go a long way. A vibrant democracy is impossible without well-informed citizens. We cannot do this without your help. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history. Reporting on the current political climate is a responsibility we do not take lightly — and we need your help.",2024-01-05 09:29:47,"[0.20212798724298625, 0.44610687703298557, 0.8110670138886502, 0.22863929957215895, 0.22366783566234236]",,Trump-Lawyer-Slammed-For-Saying-The-Quiet-Part-Out-Loud-On-Supreme-Court-Hopes.wav
2,https://www.huffpost.com/entry/dunkin-toilet-explosion-florida-lawsuit_n_65978629e4b0bf73e178e62e,Florida Man Sues Dunkin' Over Injuries Following Toilet Explosion,"Paul Kerouac is seeking more than $100,000 in a lawsuit filed Wednesday. He claims he suffered ""severe and long term injuries"" following the explosion. The Canton, Massachusetts-based company did not immediately respond to an email seeking comment.","ORLANDO, Fla. (AP) — A customer has filed a negligence lawsuit against Dunkin’, claiming he was injured by an exploding toilet at one of the coffee chain’s locations in central Florida. Paul Kerouac is seeking more than $100,000 in a lawsuit filed Wednesday in state court in Orlando, claiming he suffered “severe and long term injuries” following the explosion of a toilet in the men’s room of a Dunkin’ location in Winter Park, Florida, a year ago. Advertisement After the explosion left Kerouac covered in human feces, urine and debris, he walked out of the men’s room seeking help from workers and the store’s manager, according to the lawsuit. When contacted Thursday by email for more details on Kerouac’s injuries, his attorney, Scott Spradley, said he was tied up and couldn’t answer the questions until the following day. The Canton, Massachusetts-based company did not immediately respond to an email seeking comment. The lawsuit says Kerouac suffered “bodily injury,” and he has required mental health care and counseling since the incident in January 2022. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. Your contribution will go a long way. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Your contribution will go a long way. A vibrant democracy is impossible without well-informed citizens. This is why HuffPost's  journalism is free for everyone, not just those who can afford expensive paywalls. We cannot do this without your help. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history. Reporting on the current political climate is a responsibility we do not take lightly — and we need your help.",2024-01-05 05:22:58,"[0.17089157718028292, 0.7001141036942855, 0.20649841698669527, 0.14111067139848635, 0.646592988561305]",,Florida-Man-Sues-Dunkin-Over-Injuries-Following-Toilet-Explosion.wav
3,https://www.huffpost.com/entry/billionaires-tax-biden_n_65971f6ce4b0912833af6d32,The Ultrawealthy Are Sitting On $8.5 Trillion In Untaxed 2022 Profits: Report,"Centimillionaires and billionaires made up just 0.05% of all American households in 2022. But they held one-sixth of so-called unrealized capital gains in the country. Under current law, growth in the value of assets like stocks, bonds, investments, real estate or businesses is not taxable.","Americans worth more than $100 million sat on a whopping $8.5 trillion in untaxed profits in 2022, a report released Wednesday found  — money that may never be taxed unless Congress closes a loophole shielding the investments of the ultrarich. These centimillionaires and billionaires made up just 0.05% of all American households in 2022, according to Federal Reserve data  analyzed  by the progressive nonprofit Americans for Tax Fairness. But they held one-sixth of so-called unrealized capital gains in the country. Advertisement Unrealized gains are the primary source of income for many elite families. Under current law, growth in the value of assets like stocks, bonds, investments, real estate or businesses is not taxable until they are “realized,” or sold. The ultrawealthy can nonetheless live off these gains by taking out low-interest loans against their exorbitant wealth. And when their fortunes become inheritances, the gains are no longer taxable. “The superrich truly live in a strange and privileged world,” said David Kass, the executive director of Americans for Tax Fairness. While most households depend on paychecks — “income that is taxed all year, every year,” Kass noted — these untaxed gains make up the largest single source of income for the ultrawealthy. “The scandal of tax-free billionaires,” Kass added, also results in billions of dollars less in tax revenue that could fund health care, housing, education and other public programs. Led by President Joe Biden, Sen. Ron Wyden (D-Ore.) and Reps. Steve Cohen (D-Tenn.) and Don Beyer (D-Va.) have introduced a  “Billionaires Income Tax”  in both chambers of Congress. The tax would apply only to unrealized gains held by ultrawealthy households, and could generate an estimated $500 billion in new revenue over a decade. Advertisement Biden has also proposed ending the loophole, known as the stepped-up basis, that erases capital gains for tax purposes when wealthy individuals pass on their fortunes as inheritance. Since 1989, when the Federal Reserve began collecting this data, households worth more than $100 million have nearly tripled their share of the country’s unrealized gains. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history.",2024-01-05 00:26:22,"[0.9818063943324413, 0.06330862533287038, 0.09117538244347005, 0.061586829131057105, 0.14121732939077375]",,The-Ultrawealthy-Are-Sitting-On-85-Trillion-In-Untaxed-2022-Profits-Report.wav
4,https://www.huffpost.com/entry/jeffrey-epstein-documents-unsealed_n_65974084e4b0f27b6e36d43c,More Jeffrey Epstein Documents Unsealed,Newly unsealed court documents include fresh details about a pyramid of abuse that grew over three decades. Among the famous people in Epstein’s orbit before he was exposed as a sexual predator were former Presidents Donald Trump and Bill Clinton. Michael Jackson and magician David Copperfield were also mentioned in the documents.,"It was during Maxwell’s criminal trial two years ago that Epstein’s victims, some of whom aspired to be models or artists, described how he dropped the names of his famous and influential friends to suggest that he was the victims’ ticket to reaching their dreams. Maxwell, 62, was convicted of sex trafficking charges and is serving  a 20-year prison sentence . The roughly 250 documents being unsealed, starting this week, in one of the lawsuits against Maxwell mostly rehash what has long been known about a man who traveled in elite circles until his July 2019 sex-trafficking arrest left him so cornered that he took his own life in jail. But they have included a few fresh details about a pyramid of abuse that grew over three decades and damaged dozens of teenage girls and young women. Advertisement Among the famous people in Epstein’s orbit before he was exposed as a sexual predator were former Presidents  Donald Trump  and Bill Clinton, singer Michael Jackson and magician David Copperfield, according to the accounts of his victims and other witnesses quoted in newly released documents. There were also repetitions of well-known stories about Britain’s Prince Andrew. The court documents being released now are related to a 2015 lawsuit that Giuffre brought against Maxwell. U.S. District Judge Loretta A. Preska ordered last month that those redactions be lifted, mostly because names in the documents had already been made public through news coverage or through other court proceedings. Sjoberg said she once met Michael Jackson at Epstein’s Palm Beach, Florida, home, but that nothing untoward happened with the late pop icon. Epstein also had homes in Manhattan, New Mexico and the Virgin Islands. Advertisement She also described an April 2001 trip to New York in which she said Prince Andrew touched her breast while they posed for a photo at Epstein’s Manhattan town house. She said Copperfield did magic tricks before asking if she was aware “that girls were getting paid to find other girls.” One allegation against Epstein and Maxwell was that some girls he paid for sexual acts later recruited other victims. Sjoberg said Copperfield didn’t get more specific about what he meant. The newly released records also include many references to Jean-Luc Brunel, a French modeling agent who was close to Epstein and who  killed himself in a Paris jail  in 2022 while awaiting trial on charges that he raped underage girls. Advertisement Separately, Brunel’s estate  was sued this week  by a woman who alleges that he and others sexually assaulted her while she was working as a model in New York. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history.",2024-01-04 23:40:57,"[0.05466661222840675, 0.9915610292868128, 0.06032019995475271, 0.07046135752185491, 0.07221466112044998]",,More-Jeffrey-Epstein-Documents-Unsealed.wav
5,https://www.bbc.co.uk/news/world-africa-67885713?at_medium=RSS&at_campaign=KARANGA,Oscar Pistorius released on parole 11 years after killing Reeva Steenkamp,"Oscar Pistorius was convicted of murdering his girlfriend Reeva Steenkamp. He shot her multiple times through a bathroom door in 2013, later saying he mistook her for a burglar. He will live under strict conditions until his sentence expires in 2029.","9 minutes ago About sharing Oscar Pistorius's various trials and hearings attracted enormous media interest By Daniel De Simone in Johannesburg & Damian Zane in London BBC News Ex-Paralympian Oscar Pistorius is to be freed on parole from a South African jail, nearly 11 years after murdering his girlfriend Reeva Steenkamp. He shot her multiple times through a bathroom door in 2013, later saying he mistook her for a burglar. Pistorius, now 37, was eventually convicted of murder in 2015 after an appeal court overturned an earlier verdict of culpable homicide. He will live under strict conditions until his sentence expires in 2029. Under South African law, all offenders are entitled to be considered for parole once they have served half their total sentence, which for Pistorius was finally set in 2017 at 13 years and five months. He has been in prison since October 2014, when he was first convicted. His lower legs were amputated when he was less than a year old. Pistorius subsequently relied on prosthetics and became a world-renowned athlete known as the ""blade runner"". He had a successful career on the track, first at the Paralympics, winning multiple golds, and then cementing his reputation after competing against non-disabled athletes at the London Olympics in 2012. South Africa's department of correctional services said that despite his high public profile, the former star will be treated like anyone else on parole. This means that he will be confined to his home for certain hours of the day and he is banned from drinking alcohol. Friends say Reeva Steenkamp was kind-hearted and ambitious Ms Steenkamp, who was 29 when she died, was a law graduate and successful model who also worked as a TV presenter and appeared in a reality show called Tropika Island of Treasure. She had planned to start a law firm to help abused women after graduating. Ms Steenkamp was three months into her relationship with Pistorius when he fired four shots with a pistol through the door of a toilet cubicle at his house in Pretoria in the early hours of 14 February 2013. The state charged Pistorius with murder but he was convicted in 2014 of the lesser offence of culpable homicide, or manslaughter. The following year, judges at the Supreme Court of Appeal changed his conviction to murder, saying that his version of events was inconsistent and improbable and that he had ""fired without having a rational or genuine fear that his life was in danger"". In a letter read out to the parole board in November, Ms Steenkamp's mother, June Steenkamp, said she did not oppose his release but wondered whether Pistorius's ""huge anger issues"" had been truly dealt with in prison. She added that she would be ""concerned for the safety of any woman"" who now comes into contact with him. Mrs Steenkamp said that while she did not believe her daughter's killer had shown remorse, she had nonetheless decided to forgive him ""long ago, as I knew most certainly that I would not be able to survive if I had to cling to my anger"". You may also be interested in: Related Topics Around the BBC",2024-01-05 10:33:37,"[0.1042974017067328, 0.8098753922034971, 0.12654371306891973, 0.5553467766212933, 0.0938112332267646]",,Oscar-Pistorius-released-on-parole-11-years-after-killing-Reeva-Steenkamp.wav
6,https://www.bbc.co.uk/news/health-67714023?at_medium=RSS&at_campaign=KARANGA,"Prescription drugs sold online without proper checks, BBC finds","Regulator says extra checks are needed when selling some drugs online. Katie Corrigan died in 2020 after accidentally overdosing on medicines she bought online. BBC investigation found 20 online pharmacies selling restricted drugs without checks - such as GP approval. In total, we bought over 1,600 various prescription-only pills.","1 hour ago About sharing Katie Corrigan died in 2020 after accidentally overdosing on medicines she bought online By Eleanor Layhe & Divya Talwar BBC News Patients' lives are being put at risk because it is too easy to buy prescription-only medicines from online pharmacies, a leading pharmacist says. A BBC investigation found 20 online pharmacies selling restricted drugs without checks - such as GP approval. In total, we bought over 1,600 various prescription-only pills by entering false information without challenge. Regulator the General Pharmaceutical Council says extra checks are needed when selling some drugs online. ""The current guidance basically tells pharmacies to be robust, but do that in your own way, and we know that under this current system, patients have died,"" she says. The parents of a woman who died in 2020, after accidentally overdosing on medicines she bought online, are among those calling for stricter rules. Katie Corrigan, from St Erth in Cornwall, had developed an addiction to painkillers after experiencing neck pain. ""Katie needed help, she didn't need more medication,"" says her mum, Christine Taylor. In his final report, he said the safety controls were inadequate. It also states that ""high-risk, habit-forming medicines"", like those Katie Corrigan was able to buy, should not be sold online without additional safeguards. We are not naming these drugs because they can be dangerous when taken without medical guidance. Of the 20 businesses we identified selling one or more restricted drugs: We found nine pharmacies selling the anti-anxiety drug Three pharmacies sold the anti-anxiety medicine to us on the basis of our answers to an online questionnaire and did not require further checks In total, we were able to buy a potentially fatal dose of the anti-anxiety medicine  We bought the painkiller from nine pharmacies based on online questionnaires  We similarly obtained the sleeping medication from 14 pharmacies But 13 online pharmacies which sold at least one of these drugs refused to sell to us without access to some medical records, proof that we had been prescribed them before by a doctor, or permission to contact our GP to carry out further safety checks. One online pharmacy sent a marketing email telling us we had ""something fabulous"" in our basket and to ""buy before time runs out"", referring to an addictive painkiller. This is language the regulator, which can disqualify a pharmacist from its register, says should not be used. Five of the pharmacies that sold to us sent follow-up emails with more safety information and contact details if we had concerns or needed to ask any questions. One woman, who wanted to remain anonymous, said she bought a prescription-only weight loss drug in July by falsely claiming to be roughly double her real weight in a questionnaire. But Ms Gorrund says the guidance from the regulator is too vague, and does not state clearly enough what checks online pharmacies should be conducting. The GPhC issued renewed guidance in 2022 after it found hundreds of its investigations into whether pharmacies should be allowed to continue operating related specifically to online pharmacies. A spokesperson said: ""We have made it clear that medicines liable to abuse, overuse or misuse, such as opioids and sedatives, should not be sold online unless further safeguards have been put in place. ""We have taken regulatory action against online pharmacies which fell short of professional standards, including in some cases where 'high-risk, habit-forming' medicines were supplied on the basis of an online questionnaire.""",2024-01-05 09:55:05,"[0.13459913848945634, 0.10191752584217134, 0.08128189025925737, 0.05213582912234505, 0.9809031549963096]",,Prescription-drugs-sold-online-without-proper-checks-BBC-finds.wav
7,https://www.bbc.co.uk/news/business-67890334?at_medium=RSS&at_campaign=KARANGA,"Sir Howard Davies: Not that difficult to buy a home, says NatWest chair","Sir Howard Davies said people have always had to save for a deposit. But he warned of ""dangers"" in ""very easy access to mortgage credit"" Comments come as mortgage interest rates have started to fall, but overall remain higher than in recent years.","17 minutes ago About sharing Sir Howard Davies is the chair of the NatWest group By Michael Race Business reporter, BBC News NatWest's chair has said he believes it is not currently ""that difficult"" for people to get on the housing ladder. Sir Howard Davies said people have always had to save for a deposit but admitted you had to save more today. He told the BBC he recognised people were ""finding it difficult to start the process"", but warned of ""dangers"" in ""very easy access to mortgage credit"". His comments come as mortgage interest rates have started to fall, but overall remain higher than in recent years. With the gap between house prices and average earnings widening over decades, saving enough money to put down initially is the biggest hurdle for many hoping to buy a home. It is also one factor in why the average age of a first-time buyer has risen to 32. Asked when he thought it would be easier for people to get on to the property ladder in the UK, Sir Howard said: ""Well, I don't think it's that difficult at the moment. ""What we saw in the financial crisis was the risk of having people being able to borrow 100% and then suffering severe falls in the equity value of their houses and having to leave and having a bad credit record so there were dangers in very, very easy access to mortgage credit,"" Sir Howard added. While people have to save more cash for a deposit, the rising cost of living has hindered many people's ability to set money aside with energy bills and food costs soaring in recent years. Inflation - the rate prices rise at - hit a 40-year high in 2022 and as a result, the Bank of England has increased interest rates to try to slow it down, making the cost of borrowing money more expensive. Renters hoping to save for their own home have also seen their monthly outgoings rise sharply, with a new let costing  £1,201 a month on average, according to Zoopla . High demand has driven the increase, while supply has also narrowed with some private landlords selling up as a result of higher mortgage rates. Torsten Bell, boss of the Resolution Foundation think tank which focuses on improving living standards for those on low to middle incomes, said prior to Sir Howard's comments that the most common living arrangement for an adult aged between 18 and 34 in 1997 was ""being in a couple with children"". ""Today the most common is... living with your parents,""  he posted on X , formerly known as Twitter. On Friday, the average two-year fixed rate was 5.83%, while a five-year deal was 5.43%, according to financial information service Moneyfacts. There are signs pressure on mortgage-holders is easing, with several big lenders announcing cuts in recent days, though many homeowners coming off fixed-rate deals will still face big repayment increases. Kim Kinnaird, director at Halifax Mortgages, said with mortgage rates easing, buyers' confidence could increase in the coming months. Halifax said house prices rose for the third month in a row to average £287,105 in December, but it forecast a fall this year with buyers perhaps becoming more cautious due to economic uncertainty. While Halifax is the UK's biggest mortgage lender, its figures only take into account buyers with mortgages - about two-thirds of all sales - and do not include those who purchase homes with cash or buy-to-let deals. Separate figures from the Bank of England published on Thursday showed the number of mortgage approvals rose slightly in November, which could be seen as a sign of a touch more confidence from buyers late last year.",2024-01-05 10:49:25,"[0.9900822868373317, 0.05992375188544524, 0.09370921958414612, 0.05788486674103562, 0.06335719073818026]",,Sir-Howard-Davies-Not-that-difficult-to-buy-a-home-says-NatWest-chair.wav
8,https://www.bbc.co.uk/news/entertainment-arts-67880301?at_medium=RSS&at_campaign=KARANGA,The Last Dinner Party win BBC Radio 1's Sound Of 2024,The Last Dinner Party are an all-female rock band from London. The quintet met during fresher's week in London three years ago. They've gone from an audience of 20 to support slots with Lana Del Rey and Hozier. Florence Welch is another big fan of the band.,"The quintet met during fresher's week in London three years ago and, before long, they'd shunned university for a nightly diet of live music and cheap beer. Inspired by London's underground music scene, they'd just started writing together when the pandemic forced them apart. The pause gave them time to develop their sound, drawing on 70s art-rock albums by Sparks and Roxy Music, while channelling the fiery femininity of Siouxsie Sioux and Florence Welch. Their first gig took place at London's George Tavern in November 2021, where they drew an audience of just 20 people. The Last Dinner Party (L-R): and Lizzie Mayland (guitar), Aurora Nishevci (keyboards), Abigail Morris (vocals), Emily Roberts (guitar) and Georgia Davies (bass) But it was their third gig at Venue MOT, a stone's throw from Milwall FC's stadium, that really put them on the map. That ""guy"" was Lou Smith, a film-maker who documents London's underground music scene. When he posted  The Last Dinner Party's set to YouTube , their inboxes suddenly blew up with messages from record labels, managers and PRs. The BBC Sound Of 2024 was voted for by a panel of more 140 industry experts and artists, including Olivia Rodrigo, Jorja Smith, PinkPantheress, Chase & Status, Tom Grennan Mahalia and more. The Top Five acts were: Indie rock band  The Last Dinner Party 'Imperfect' pop star  Olivia Dean Superstar DJ  Peggy Gou South African phenomenon  Tyla Soul sensation  Elmiene The band recently supported Hozier on his European tour Florence Welch is another big fan. ""I think the nuances of femininity almost always get lost in rock,"" she tells the BBC, ""but when I saw The Last Dinner Party playing in their dresses and their chiffon, while being so fierce and ferocious, I was like, 'This is it!'"" ""Don't drink your way through it,"" is her main takeaway. Her bandmates pull her close for a hug, an instinctive act of camaraderie that indicates they'll be strong enough to survive the stormy waters of the music business. As if a focus group would ever create an all-female rock band who look like Adam Ant at a Pride march, singing gothic ballads about repressed Catholic guilt. Fans have connected with the band's unique dress sense That song was  Nothing Matters,  a scorching declaration of lust that burst onto the radio last April. ""There's a whole bootleg black market in our songs,"" says Georgia. ""People download the audio from live videos and put it on their Spotify or SoundCloud. Their goal is to put colour back into an indie scene that had become very self-serious. Fans have latched onto their look, turning up to concerts in willowy ball gowns and elaborate headgear. Unbeknownst to Abigail, her bandmate Lizzie had faced similar struggles growing up in the small Yorkshire town of Hebden Bridge. In just two short years, they've gone from an audience of 20 to support slots with Lana Del Rey and Hozier.",2024-01-05 00:00:25,"[0.04621084744482055, 0.9937542705387342, 0.04934054600458928, 0.06422832231622855, 0.061296333470048196]",,The-Last-Dinner-Party-win-BBC-Radio-1s-Sound-Of-2024.wav
9,https://www.bbc.co.uk/news/world-middle-east-67888794?at_medium=RSS&at_campaign=KARANGA,Israeli minister outlines plans for Gaza after war,Israel would retain overall security control of Gaza. Egypt would also have an unspecified role to play under the plan. US Secretary of State Antony Blinken is due back in the region this week. He is expected to hold talks with Palestinian officials in the occupied West Bank.,"53 minutes ago About sharing A woman mourns the death of her husband in Kahn Younis, Gaza, on Thursday Israeli Defence Minister Yoav Gallant has outlined proposals for the future governance of Gaza once the war between Israel and Hamas is over. There would, he said, be limited Palestinian rule in the territory. US Secretary of State Antony Blinken is due back in the region this week. He is expected to hold talks with Palestinian officials in the occupied West Bank and Israeli leaders. His visit comes amid heightened tensions in the region following the assassination of top Hamas leader Saleh al-Arouri on Tuesday in Lebanon's capital Beirut. Under Mr Galant's now ""four corner"" plan, Israel would retain overall security control of Gaza. Neighbouring Egypt would also have an unspecified role to play under the plan. ""Gaza residents are Palestinian, therefore Palestinian bodies will be in charge, with the condition that there will be no hostile actions or threats against the State of Israel,"" Mr Gallant said. Some far right-wing members of Israeli Prime Minister Benjamin Netanyahu's government have said that Palestinian citizens should be encouraged to leave Gaza for exile, with the reestablishment of Jewish settlements in the territory - controversial proposals that have been rejected as ""extremist"" and ""unworkable"" by other countries in the region and by some of Israel's allies. While Mr Galant's proposals may be regarded as more practical than those suggested by some of his cabinet colleagues, they are likely to be rejected by Palestinian leaders who say that Gazans themselves must be allowed to take full control of running the territory once this devastating war is over. Mr Netanyahu has not publicly talked in any detail about how he thinks Gaza should be governed. He has suggested that the war in Gaza may yet last several months, with the avowed goal being to completely crush Hamas. In the south, the Israeli military would continue to try to track down Hamas leaders and rescue Israeli hostages, he said. Khan Younis, the largest city in the south of the Gaza Strip, was hit by Israeli air strikes on Thursday It said it had conducted strikes on ""terrorist infrastructure"" and had killed people who it described as militants, who it said had tried to detonate an explosive next to soldiers. A health ministry official said 14 people - including nine children - were killed by Israeli air strikes in al-Mawasi, to the west of Khan Younis. The small town has been designated a ""safe space"" by Israeli forces for displaced Palestinians. ""We were sleeping at midnight when a strike hit the camp on the tents, 4x2 tents where people were sleeping, most of them children,"" eyewitness Jamal Hamad Salah told Reuters news agency. ""We found one body there that flew 40 metres away."" ""Camps, shelters, schools, hospitals, homes and so-called 'safe zones' should not be battlegrounds."" Israel's offensive started after Hamas gunmen launched a surprise attack on southern Israel on 7 October, killing 1,200 people, most of them civilians, and taking about 240 people hostage.",2024-01-05 09:40:24,"[0.10552110337442025, 0.07532304278423838, 0.986728216906261, 0.07020166118066842, 0.06805063333161789]",,Israeli-minister-outlines-plans-for-Gaza-after-war.wav
