,Link,Title,Summary,Article,Date,Embedding,Wav-link,wav_file_name
0,https://www.huffpost.com/entry/pop-tart-bowl-edible-mascot_n_658ef0abe4b0b01d3e3fce8b,Fans Can’t Get Enough Of Pop-Tart Football Mascot Who Craved Being Eaten,"Kansas State beat North Carolina State 28-19 in the Pop-Tart Bowl on Thursday. At the end of the game, the mascot was lowered into what appeared to be a giant toaster. The bottom of the toaster apparatus opened up and spit out a version of the mascot made out of edible Pop Tart material.","College football got a little weirder than usual on Thursday during the Pop-Tart Bowl ― an annual December game that’s undergone numerous name changes over the past three decades. This year’s game,  in which Kansas State beat North Carolina State  28-19, involved a bug-eyed, human-sized Pop Tart mascot. Advertisement At the end of the game, the mascot brandished a sign reading, “DREAMS REALLY DO COME TRUE” before being lowered into what appeared to be a giant toaster. Donna Summer’s “Hot Stuff” blared in the background. The bottom of the toaster apparatus opened up and spit out a version of the mascot (with no human actor inside ― we hope) made out of edible Pop-Tart material. Kansas State players grabbed at the anthropomorphic Pop-Tart’s body and shoved bits of him into their mouths in a celebratory fashion. And some people highlighted the gruesome, jammy aftermath. Advertisement But don’t feel bad for the Pop-Tart. Reporter Rodger Sherman  confirmed with the mascot  prior to its toasty demise that the breakfast pastry indeed yearned to be eaten. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. A vibrant democracy is impossible without well-informed citizens. We cannot do this without your help. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history. Reporting on the current political climate is a responsibility we do not take lightly — and we need your help.",2023-12-29 17:51:54,"[0.07408532811413193, 0.9689050052805375, 0.0846071079448162, 0.13755588347169206, 0.1722047360210505]",,Fans-Can’t-Get-Enough-Of-Pop-Tart-Football-Mascot-Who-Craved-Being-Eaten.wav
1,https://www.huffpost.com/entry/cats-dogs-funny-tweets-dec-23-29_n_658eda4de4b03057f5cd086e,33 Of The Funniest Tweets About Cats And Dogs This Week (Dec. 23-29),"Each week at HuffPost, we scour Twitter X to find the funniest posts about our furballs. As the 2024 presidential race heats up, the very foundations of our democracy are at stake. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls.","Woof — it’s been a long week. If you feel like you’ve been working like a dog, let us offer you the internet equivalent of a big pile of catnip: hilarious tweets about pets. Each week at HuffPost, we scour Twitter X (yes, Elon Musk is apparently fur real) to find the funniest posts about our furballs being complete goofballs. They’re sure to make you howl. Advertisement (And if you want more, no need to beg ― you can check out last week’s batch right  here .) That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. Your contribution will go a long way. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Your contribution will go a long way. As the 2024 presidential race heats up, the very foundations of our democracy are at stake. A vibrant democracy is impossible without well-informed citizens. This is why HuffPost's  journalism is free for everyone, not just those who can afford expensive paywalls. We cannot do this without your help. As the 2024 presidential race heats up, the very foundations of our democracy are at stake. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history. Reporting on the current political climate is a responsibility we do not take lightly — and we need your help.",2023-12-29 16:07:05,"[0.10619353414002064, 0.17583030138564332, 0.13647046089527815, 0.07567002329734243, 0.9661555254195342]",,33-Of-The-Funniest-Tweets-About-Cats-And-Dogs-This-Week-(Dec-23-29).wav
2,https://www.huffpost.com/entry/lauren-boebert-colorado-gop-chair-swap-district_n_658ebd98e4b03057f5ccf39c,Colorado GOP Chair Says Lauren Boebert's District Swap Not 'The Best Move',"Rep. Lauren Boebert (R-Colo.) announced Wednesday she was entering the GOP primary for retiring Rep. Ken Buck’s seat. The move allows her to skirt a likely rematch against Democrat Adam Frisch. “From a party perspective, we certainly don’t think it was the best move,” Dave Williams told CNN.","The chairman of Colorado’s  Republican Party  wasn’t enthused by Rep.  Lauren Boebert ’s (R-Colo.)  decision to change  to a less competitive congressional district. “From a party perspective, we certainly don’t think it was the best move,” Dave Williams told  CNN ’s  Brianna Keilar  on Thursday. “We felt that she was best suited for Congressional District 3 and that she was in the best position to win reelection and retain that for Republicans.” Advertisement He said the lawmaker has “a serious challenge on her hands trying to explain to the voters of CD 4 why she thought it was necessary to leave CD 3 and have a better chance at keeping her seat in Congress.” He added, “It’s kind of a problematic proposition, but it’s again, it’s something for the voters to decide.” Boebert announced Wednesday she was entering the GOP primary for retiring Rep. Ken Buck’s seat in the state’s east, leaving the district she won by a hair last year. She said it would be a “fresh start” because it has been a “pretty difficult year for me and my family.” The move allows her to skirt a likely rematch against Democrat Adam Frisch, whose campaign has significantly outraised Boebert’s. Advertisement Boebert filed for divorce from her husband, the father of her four sons, in May. In September, she faced backlash even from supporters after she was  kicked out of a performance  of the “Beetlejuice” musical in Denver for inappropriate and disruptive behavior, which she initially lied about. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. Your contribution will go a long way. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Your contribution will go a long way. A vibrant democracy is impossible without well-informed citizens. This is why HuffPost's  journalism is free for everyone, not just those who can afford expensive paywalls. We cannot do this without your help. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history. Reporting on the current political climate is a responsibility we do not take lightly — and we need your help.",2023-12-29 13:46:59,"[0.1844602374077812, 0.24227349313139107, 0.9098387000926148, 0.1945751163938431, 0.20399029201283636]",,Colorado-GOP-Chair-Says-Lauren-Boebert's-District-Swap-Not-'The-Best-Move'.wav
3,https://www.huffpost.com/entry/chris-christie-nikki-haley-civil-war-slavery_n_658e9fe7e4b0cd3cf0e5063d,Chris Christie Says This Is The Real Reason Behind Nikki Haley’s Civil War Response,"Chris Christie says he doesn't believe Nikki Haley has a racist bone in her body. Christie says Haley's Civil War remarks show she lacks backbone to lead the country. Haley walked it back on Thursday morning, telling a New Hampshire radio station, “of course the Civil War was about slavery. We know that.”","Chris Christie  criticized his fellow Republican presidential hopeful  Nikki Haley  on Thursday over her  failure to say slavery  was the cause of the American Civil War, claiming she did so because “she’s unwilling to offend anyone by telling the truth.” “She’s smart and she knows better. I know her well, and I don’t believe Nikki has a racist bone in her body,” the former New Jersey governor said at a town hall event in Epping, New Hampshire. Advertisement “The reason she did it is just as bad, if not worse, and should make everybody concerned about her candidacy,” he continued. “She did it because she’s unwilling to offend anyone by telling the truth.” Christie suggested the incident demonstrates that Haley lacks backbone to lead the country and stand up against tough foreign leaders,  Democrats , and certain divisive  Republicans , accusing her of being “afraid to say that  Donald Trump  is unfit because she’s afraid of offending people who support Donald Trump.” Unlike most of his rivals, Christie has been vocally critical of the former president, who faces 91 felony counts across four indictments. Advertisement At a Wednesday night campaign stop in Berlin, New Hampshire, a voter asked Haley to state the cause of the Civil War. Haley cited the role of government, and “freedoms,” but declined to mention slavery. Facing fierce backlash, Haley walked it back on Thursday morning, telling a New Hampshire radio station, “of course the Civil War was about slavery. We know that.” She also declined, when asked by a voter on Thursday, to explicitly rule out  being Trump’s vice president , and said she  would pardon  the former president if she wins the election and if he’s convicted of a crime. “Since she won’t deny it, we have to believe that she’s willing to do it,” Christie said of Haley’s aspirations for a potential second Trump administration. Some of Haley’s other rivals have also criticized her viral Civil War remarks. Ron DeSantis told reporters,  according to the Des Moines Register . Advertisement Vivek Ramaswamy, with whom Haley has  clashed  repeatedly on foreign policy,  tweeted : “Turns out Nikki knows as little about the Civil War as she does about the Ukraine War.” Haley has seen a polling bump recently, including a surge in New Hampshire, but she still lags Trump, who leads the pack by a wide margin nationally. Support HuffPost The Stakes Have Never Been Higher At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. Our Life, Health and Shopping desks provide you with well-researched, expert-vetted information you need to live your best life, while HuffPost Personal, Voices and Opinion center real stories from real people. At HuffPost, we believe that everyone needs high-quality journalism, but we understand that not everyone can afford to pay for expensive news subscriptions. That is why we are committed to providing deeply reported, carefully fact-checked news that is freely accessible to everyone. At HuffPost, we believe that a vibrant democracy is impossible without well-informed citizens. This is why we keep our journalism free for everyone, even as most other newsrooms have retreated behind expensive paywalls. Our newsroom continues to bring you hard-hitting investigations, well-researched analysis and timely takes on one of the most consequential elections in recent history.",2023-12-29 12:20:40,"[0.1908717281004337, 0.34007979267291505, 0.8756280500910683, 0.215177290269965, 0.18678321571621537]",,Chris-Christie-Says-This-Is-The-Real-Reason-Behind-Nikki-Haley’s-Civil-War-Response.wav
4,https://www.bbc.co.uk/news/uk-england-south-yorkshire-67840348?at_medium=RSS&at_campaign=KARANGA,"Crash victim 'devoted his life to others', says family","Chris Marriott, 46, was hit by a car in Sheffield on Wednesday. He was giving first aid to an unconscious woman when he was hit. Mr Marriott worked for a charity in Sheffield and was a member of City Church. Two men arrested over the incident remain in custody, police say.","29 minutes ago About sharing Chris Marriott worked for a charity in Sheffield and was a member of City Church By PA Media & Tim Dale BBC News A man who was killed when he was hit by a car as he was giving first aid to an unconscious woman in a street died ""helping others"", his church has said. Chris Marriott, 46,  described by police as a ""Good Samaritan"" , was helping the woman in Sheffield on Wednesday when he and several others were hit by the car. A spokesperson for City Church, of which Mr Marriott was a member, said everyone was ""deeply shocked"". Two men arrested over the incident remained in custody, police said. In a statement, the Sheffield City Church spokesperson said: ""Chris died doing what so many will remember him for - helping others."" Mr Marriott's death was ""tragic"" and the ""thoughts and prayers"" of church members were with his family, they added. ""This is an unbelievably awful situation and we are heartbroken for the family,"" the spokesperson said. The scene in the aftermath of the incident was described by one eyewitness as a ""disaster"" Mr Marriott worked for the Community Money Advice (CMA) charity and had helped set up and run Sheffield's Jubilee Food Bank. According to the CMA website, he was the charity's IT manager but he had previously worked as a debt adviser at an affiliated debt advice centre in South Yorkshire. Mr Marriott had also worked for a large museums group and had spent time ""working for his local church, overseeing a number of community-based projects"", it said. South Yorkshire Police said Mr Marriott had been out walking in the Burngreave area of Sheffield on Wednesday afternoon with his sons, aged six and eight, when the incident happened. Mr Marriott was among several people injured when the car hit them, including an off-duty midwife who had also stopped to help, the force said. A police spokeswoman said the woman Mr Marriott had been helping remained in hospital in a life-threatening condition. The off-duty midwife had suffered minor injuries in the crash, while another man had received serious injuries which were not believed to be life-threatening and four other people - three women and a man - suffered minor injuries, she added. South Yorkshire Police said there would be increased patrols in the area Dr Alan Billings, South Yorkshire's Police and Crime Commissioner, said Mr Marriott's death was a ""heartbreaking tragedy"". ""We all need to reflect on how violent behaviour brings grief and misery. It never solves issues, but only makes matters worse."" A 23-year-old man who was arrested on suspicion of murder in connection with the incident, and a 55-year-old man who had been arrested on suspicion of attempted murder, remained in custody, according to South Yorkshire Police. Follow BBC Yorkshire on  Facebook ,  X (formerly Twitter)  and  Instagram . Related Topics More on this story 15 hours ago 18 hours ago Related Internet Links The BBC is not responsible for the content of external sites.",2023-12-29 18:58:34,"[0.11019047690618171, 0.8927539188998495, 0.33322510625153523, 0.2470878109615054, 0.13695671332962625]",,"Crash-victim-'devoted-his-life-to-others',-says-family.wav"
5,https://www.bbc.co.uk/news/world-europe-67843312?at_medium=RSS&at_campaign=KARANGA,Ukraine war: At least 30 killed in biggest Russian bombardment yet,"More than 160 people were injured as Russia hit Kyiv, Odesa, Dnipropetrovsk, Kharkiv and Lviv in the early hours of Friday morning. Russia ""used nearly every type of weapon in its arsenal"", with homes and a maternity hospital hit, Ukrainian President Volodymyr Zelensky said.","24 minutes ago About sharing Watch: Odesa clergyman narrowly avoids roof collapse after Russian strike By James Waterhouse BBC Ukraine correspondent in Kyiv At least 30 people have been killed in what Ukraine says is Russia's biggest missile bombardment of the war so far. More than 160 people were injured as Russia hit Kyiv, Odesa, Dnipropetrovsk, Kharkiv and Lviv in the early hours of Friday morning. Russia ""used nearly every type of weapon in its arsenal"", with homes and a maternity hospital hit, Ukrainian President Volodymyr Zelensky said. Ukraine's air force said it had never seen so many missiles launched at once. Kyiv's air defences have drastically improved in recent months, but on Friday they were overwhelmed. An Air Force spokesperson said Russia used hypersonic, cruise and ballistic missiles, including X-22 type, which are difficult to intercept. The air force said 114 of 158 missiles and drones had been shot down. For months, mostly falling debris caused the damage and loss of life that Ukrainians constantly fear. Once again, it wasn't just Kyiv picking up the pieces either. Authorities claimed more than 10 Iranian-made Shahed drones and 15 missiles targeted the western city of Lviv, somewhere which has often been spared the worst of this invasion. Kharkiv mayor Igor Terekhov said three people were killed and 13 were injured in a series of strikes on the city which damaged a hospital and residential buildings. The governor of Dnipropetrovsk region said that six people were killed and 28 were injured in what he called a ""tragic morning for the region"". One Russian missile even briefly entered Polish airspace as it homed in on its Ukrainian target. Its missile stockpiles aren't what they were, but Moscow has shown it still wants to continue its tactic of suppressing Ukraine's population, in the hope that not feeling safe will lessen their appetite for this war. It's also been a week when Ukraine destroyed a major Russian landing ship in occupied Crimea, and the US delivered the last of its approved military packages to Ukraine worth $250m. Responding to the latest Russian bombardment, US President Joe Biden described it as ""a stark reminder to the world that, after nearly two years of this devastating war, Putin's objective remains unchanged. Maybe the renewed missile attack was revenge, or another statement? A spokesman for Russia's Defence Ministry simply said ""all the designated military targets have been hit"". It has always been the whole of Ukraine under Russian attack. But its ability to keep doing so is far from assured.",2023-12-29 17:46:42,"[0.40483987403662186, 0.3972525657690741, 0.6229262380472461, 0.48794693874901246, 0.22839825370977074]",,Ukraine-war:-At-least-30-killed-in-biggest-Russian-bombardment-yet.wav
6,https://www.bbc.co.uk/news/world-us-canada-67770912?at_medium=RSS&at_campaign=KARANGA,Can Donald Trump still run for president after Maine and Colorado rulings?,"Donald Trump disqualified from running as a presidential candidate in two states. Colorado's highest court issued a similar, unprecedented, ruling just days earlier. But it is still uncertain whether Mr Trump's name will appear on the ballot. Both rulings are on hold while an appeals process plays out.","20 minutes ago About sharing Mr Trump faces several legal challenges heading into the 2024 presidential race By Tom Geoghegan BBC News Donald Trump has been disqualified from running as a presidential candidate in two states, Colorado and Maine. So what does it mean for next year's general election? Colorado's highest court issued a similar, unprecedented, ruling just days earlier. But it is still uncertain whether Mr Trump's name will appear on the ballot when the two states pick their Republican candidate in the coming months, as both rulings are on hold while an appeals process plays out. Section 3 disqualifies people who engage in ""insurrection or rebellion"" from holding federal office. Her order said Mr Trump ""over the course of several months and culminating on January 6 2021, used a false narrative of election fraud to inflame his supporters and direct them to the Capitol"". Ms Bellows, an elected official, was accused of making a politically motivated decision by the Trump campaign. On 19 December,  the Colorado Supreme Court said  it found ""clear and convincing evidence that President Trump engaged in insurrection"". It was the first time Section 3 had been used to disqualify a presidential candidate. They also noted that Mr Trump has not been charged with inciting insurrection. These rulings only apply to Colorado and Maine respectively. Hours after Maine's ruling, California's elected secretary of state, a Democrat, ignored calls to remove Mr Trump from the state's Republican primary ballot - saying it was a matter for the courts. In both Colorado and Maine, Joe Biden won against Donald Trump in 2020 by a wide margin, and it is unlikely that Mr Trump will need to win the states to enter the White House once more. Any decision by the US Supreme Court could supersede this and apply nationally. The balance of that court has shifted to more conservative in recent years, thanks in part to three justices who were appointed by Mr Trump when he was president. The Colorado Supreme Court disagreed, and top legal scholars are divided on whether this law should apply to Mr Trump. Lawyers for Mr Trump dispute that he engaged in insurrection and argue his remarks to supporters on the day of the 2021 riot were protected by his right to free speech. But there could be wider implications for the general election. Dozens of other US states have similar lawsuits trying to bar Mr Trump from running, and the decisions in Colorado and Maine could make it more likely some of them succeed. If Mr Trump was stopped from running in a state where he and Mr Biden are neck-and-neck, that could be critical in a presidential race that is expected to be closely fought.",2023-12-29 14:33:30,"[0.11186714605195681, 0.09556231207458032, 0.980654614459517, 0.09255421388132863, 0.09002127957997569]",,Can-Donald-Trump-still-run-for-president-after-Maine-and-Colorado-rulings?.wav
7,https://www.bbc.co.uk/news/health-67840758?at_medium=RSS&at_campaign=KARANGA,One dead following cheese recall over E. coli,"Four types of Mrs Kirkham's cheese were recalled on Christmas Eve. 30 confirmed cases of Shiga toxin-producing E.coli (STEC) reported across England and Scotland since late July. Symptoms of STEC infection can vary in severity, ranging from mild diarrhoea to severe abdominal cramps.","1 hour ago About sharing Four types of Mrs Kirkham's cheese were recalled on Christmas Eve By Michelle Roberts Digital health editor A person in Scotland has died from E. coli, following an outbreak of the bacterial infection in the UK linked to cheese. Health experts warned a few days ago that some products in the Mrs Kirkham's range might be contaminated and should be recalled as a precaution. It is not clear yet whether the death was caused by food. Officials say investigations are continuing into any common links between cases and the recalled cheeses. The UKHSA said one person from Scotland with the infection has now died but has not provided details such as their age or sex, or whether they had other underlying health conditions. It says there have been 30 confirmed cases of Shiga toxin-producing E.coli (STEC) reported across England and Scotland since late July. These were people aged between seven and 81, and some needed hospital care. Symptoms of STEC infection can vary in severity, ranging from mild diarrhoea to severe abdominal cramps, vomiting and bloody diarrhoea. In up to 15% of cases, infection can lead to the development of haemolytic uraemic syndrome (HUS) - a serious and life-threatening condition predominantly affecting the kidneys, which can result in death. The Food Standards Agency (FSA) and UKHSA warned the public not to eat the following cheeses: Mrs Kirkham's Mild & Creamy Lancashire Mrs Kirkham's Tasty Lancashire Mrs Kirkham's Mature Lancashire Mrs Kirkham's Smoked Lancashire No 1 Waitrose and Partners, Farmhouse Kirkham's Lancashire cheese STEC infection can be spread by many different routes - not just contaminated food. It can be caught from direct contact with an infected animal or close contact with an infected person. Amy Douglas, incident director for gastrointestinal infections and food safety division at UKHSA, said people should take any necessary precautions. ""If you have diarrhoea and vomiting, you can take steps to avoid passing it on to family and friends over the festive period. ""Washing your hands with soap and warm water and using bleach-based products to clean surfaces will help stop infections from spreading. Don't prepare food for others if you have symptoms or for 48 hours after symptoms stop. ""Many of us will be travelling for Christmas, but if you are unwell you should avoid visiting people in hospitals and care homes to avoid passing on the infection in these settings,"" she added. ""Do not return to work or school once term restarts until 48 hours after your symptoms have stopped."" Related Topics More on this story 21 hours ago Related Internet Links The BBC is not responsible for the content of external sites.",2023-12-29 17:55:44,"[0.16056629889053406, 0.801760002979207, 0.25161768794386735, 0.1534427255993306, 0.4945131245556673]",,One-dead-following-cheese-recall-over-E-coli.wav
8,https://www.bbc.co.uk/news/uk-67802959?at_medium=RSS&at_campaign=KARANGA,Blackpool Tower fire: Five other times people were fooled by false alarms,"Police flying over Blackpool Tower in a helicopter declared ""there is no fire"" The flames, it turned out, were in fact orange netting flapping about in the wind. The escaped tiger turned out to be a soft toy , which police later nicknamed Tony.","27 minutes ago About sharing By Andre Rhoden-Paul BBC News Things are not always what they seem. And there is no better example of that old adage than Blackpool Tower and the fire that never was. On Thursday, six fire engines, a drone team and a rope-rescue team gathered at the famous landmark tower built more than 100 years ago. Social media videos were rapidly notching up views. That was until police flying over the tower in a helicopter  declared ""there is no fire"". The flames, it turned out, were in fact orange netting flapping about in the wind, leaving some red faces and quite possibly a mini-surge in opticians' bookings. The discovery in January 2021 led to a search by officers and specialists dogs, only for it to be confirmed  the suspected foot was actually a potato  with a mushroom growing next to it. 'Ritual mass murder'  The yoga room was dark and lit with candles One September night this year, two dog walkers peered through a window into a dark cafe to see bodies lying on the ground covered with blankets surrounded by candles and a mysterious person in a robe walking between them. Officers rushed to the cafe in St Leonards, Lincolnshire, only to  find a yoga class in session. Instructor Millie Laws later said: ""I guess from the outside view it could look like that [a mass murder], because they're all really still, very nice and relaxed. But when Greater Manchester Police arrived at the home in Oldham last year, there was no need for alarm. The  escaped tiger turned out to be a soft toy , which police later nicknamed Tony. Such was the concern over the escaped white tiger, play stopped at a cricket ground and animal specialists at nearby Marwell Zoo were prepared to send in a team with tranquiliser darts. But when the helicopter arrived and blew over the tiger, it became quickly clear  it was just a stuffed toy . The ""bone-chilling"" discovery was reported to police Earlier this year, a concerned member of the public called the police after finding what they thought was a pile of human bones in a bush in their Derbyshire garden. On closer inspection by police officers though, it turned out to be a toy skeleton model of Captain Hook, complete with a hook for a hand and the remains of his trusty parrot. 'Dummy bomb at Old Trafford' Bomb disposal experts arriving at 75,000-capacity Old Trafford Everyone can make mistakes, but some are more costly than others. A match at Manchester United's Old Trafford was abandoned and thousands of supporters evacuated after the discovery of a ""incredibly lifelike explosive device"" in a toilet block in 2016. At the time Greater Manchester Police and Crime Commissioner Tony Lloyd described the mistake as a ""fiasco"". Related Topics More on this story 21 hours ago",2023-12-29 14:15:20,"[0.09784782516099813, 0.838472331475987, 0.11555936140667591, 0.5128185129475062, 0.10513400605929196]",,Blackpool-Tower-fire:-Five-other-times-people-were-fooled-by-false-alarms.wav
9,https://www.bbc.co.uk/news/uk-67843958?at_medium=RSS&at_campaign=KARANGA,UK sending more air defence missiles to Ukraine after Russia strikes,"About 200 weapons will be provided, the Ministry of Defence said. At least 28 people were killed after a wave of Russian strikes across the country. UK Defence Secretary Grant Shapps said the package ""sends an undeniable message"" that Britain is ""absolutely committed to supporting Ukraine""","10 minutes ago About sharing By Harrison Jones  BBC News The UK will send more air defence missiles to Ukraine after Russia launched a wave of air strikes overnight, the government has said. The Ministry of Defence said about 200 weapons would be provided. At least 28 people were killed after a wave of Russian strikes across the country, Ukrainian officials said. UK Defence Secretary Grant Shapps said the package ""sends an undeniable message"" that Britain is ""absolutely committed to supporting Ukraine"". Mr Shapps branded the wave of attacks - which Ukraine's military said comprised 158 missiles and drones targeting a number of cities simultaneously - ""murderous"". He suggested they were ""a desperate and futile attempt to regain momentum after the catastrophic loss of hundreds of thousands of conscripts and ahead of the humiliation of his three-day war entering a third calendar year."" The defence secretary said the package would restock UK-gifted air defence systems capable of striking down Russian drones and missiles with ""incredible accuracy"". The delivery is intended to protect civilians and infrastructure from drones and bombing. The Ministry of Defence (MoD) said the UK has now supplied a squadron of battle-ready Challenger 2 tanks, three batteries of self-propelled AS90 guns, hundreds of armoured and protected vehicles, as well as long-range precision strike capability in the form of Storm Shadow cruise missiles and long-range attack drones. But the announcement comes as questions are being asked about whether Western support for Ukraine is wavering after nearly three years of war there and a new conflict in the Middle East. The  latest tranche of US support was approved this week , but further packages will need fresh approval from Congress. There has also been disagreement among European countries about aid for Ukraine, with  Hungary blocking a £43bn (€50bn) EU aid package earlier this month . Mr Shapps added: ""Putin is testing Ukraine's defences and the West's resolve, hoping that he can clutch victory from the jaws of defeat. But he is wrong. ""Ukraine's degradation of the Russian Black Sea fleet has proven it is still in this fight to win. And today's air defence package sends an undeniable message, in the face of Russian barbarity that the UK remains absolutely committed to supporting Ukraine."" He called on the West ""to come together and redouble our efforts to get Ukraine what they need to win"". Earlier, Prime Minister Rishi Sunak posted on social media that the attacks showed  Russian President Vladimir Putin would ""stop at nothing to achieve his aim of eradicating freedom and democracy"". He said the UK would ""not let him win"" and called for the country to ""stand with Ukraine - for as long as it takes"". Related Topics More on this story 9 hours ago",2023-12-29 18:49:21,"[0.0986799197908025, 0.0607838318264644, 0.9887305726303952, 0.06635304195614071, 0.0676515172609635]",,UK-sending-more-air-defence-missiles-to-Ukraine-after-Russia-strikes.wav
